Long	Lat	sat_min	sat_max	pptn_min	pptn_max	npp
-70.701	0.947	24.9201	26.4482	486.4114	1035.9267	860.0946
-71.072	0.947	25.0329	26.6979	429.4516	1017.5860	878.5545
-74.783	0.736	24.3664	26.1344	327.1056	977.5316	1344.3953
-76.998	0.943	13.1222	14.1267	426.7009	898.6450	627.0279
-77.366	0.943	9.5334	10.6323	275.5833	457.4022	855.1147
-77.645	0.838	9.7611	10.8149	186.6960	343.1337	757.4856
-78.101	0.942	16.4400	17.0227	141.2372	479.5345	1170.6471
-55.05	0.604	24.2309	25.6777	231.2836	953.3061	940.7857
-57.459	0.612	25.5002	26.7794	247.9499	890.4686	956.8457
-59.921	0.618	26.0914	27.4150	239.6789	915.3192	893.9980
-62.43	0.623	26.1911	27.2451	270.4325	820.5625	849.3074
-64.976	0.627	26.0692	26.8712	458.3131	891.3414	979.9389
-65.616	0.576	24.4876	25.1922	510.6374	913.5942	946.5490
-66.081	0.838	22.0128	22.6364	575.3176	1053.4211	786.5652
-67.554	0.84	25.7516	26.7012	671.0054	1074.8768	847.2786
-70.886	0.842	24.8291	26.4033	470.3252	1034.0717	873.7988
-72	0.842	25.3475	27.2278	349.4425	961.7143	969.7378
-72.371	0.842	25.3266	27.2624	312.9354	914.5166	1050.9583
-72.65	0.632	24.9472	26.8659	325.8865	919.1144	1062.4050
-75.34	0.631	24.4037	26.0897	405.6369	1031.1185	1351.0501
-76.815	0.839	22.7139	23.4742	758.3859	1229.7935	1266.8429
-77.184	0.839	12.5026	13.5445	357.3834	693.0199	587.8920
-77.919	0.838	7.4368	8.3503	172.1633	329.4755	632.1191
-78.286	0.837	18.4713	19.0717	165.5091	529.0127	1139.2640
-79.845	0.678	24.2433	25.5357	118.5623	688.1345	528.2838
-55.556	0.505	24.7457	26.1983	246.2947	966.2901	943.9442
-57.978	0.511	25.7092	26.9805	255.5857	868.2257	948.1420
-60.451	0.516	26.2490	27.5087	236.4879	921.7997	895.7734
-62.97	0.52	26.2059	27.1969	322.7418	858.2415	844.3462
-65.895	0.733	24.3545	25.0476	522.5986	910.9439	942.3790
-67.552	0.525	25.5027	26.4789	637.8599	1035.5022	852.3572
-68.103	0.473	25.0821	26.1308	706.0325	1096.5951	843.3777
-70.792	0.527	24.7729	26.2165	539.9215	1009.9543	860.7299
-72.186	0.737	25.3307	27.1982	338.0966	931.2809	1015.4567
-73.301	0.526	24.7051	26.5950	307.7192	920.6181	1140.9173
