T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
247.407	301.588	387.241	298.835	331.900	296.736	314.953	323.733	331.251	325.139	215.620	352.489	325.641	328.471	307.655	316.757	304.076	366.776	177.675	293.399	281.127	302.644	300.717	333.665	329.680	274.405	370.590	302.227	185.610	369.277	333.984	197.341	307.483	197.440	283.287	333.695	273.984	323.803	401.971	317.004	403.081	305.447	188.787	295.042	317.310	317.101	306.201	330.506	276.328	191.476	366.173
166.494	194.516	223.393	191.260	207.533	186.872	201.127	209.830	204.309	212.154	168.979	230.158	212.993	213.265	201.263	197.344	189.855	196.676	126.784	202.801	170.799	185.895	195.754	219.019	209.647	163.285	206.920	173.569	134.624	196.511	221.028	150.483	201.623	147.355	169.403	216.667	168.676	204.347	224.107	205.982	221.447	185.574	152.650	181.536	218.157	195.100	192.585	212.538	180.302	139.800	212.518
326.102	366.292	370.383	367.933	366.051	344.310	371.414	386.624	377.284	389.926	379.882	410.540	389.926	383.734	373.590	368.547	348.248	329.451	276.784	388.572	340.241	332.768	372.217	390.589	376.490	302.342	345.056	338.264	286.601	322.603	391.969	338.200	366.886	309.730	314.264	381.624	332.193	364.018	368.758	388.354	351.620	331.694	335.165	349.063	410.853	353.188	355.424	383.383	350.154	303.994	358.617
356.914	397.438	392.960	400.415	393.710	372.553	402.424	418.760	407.410	421.963	423.113	441.891	421.174	413.860	404.768	399.843	376.388	350.246	307.537	425.065	371.788	359.151	404.001	420.921	406.065	327.077	367.252	368.157	319.671	339.983	422.063	377.261	396.350	344.144	339.992	411.400	362.785	391.885	389.739	421.438	370.062	356.588	374.629	379.709	446.831	380.709	384.608	414.328	382.170	338.783	380.360
332.105	366.861	355.141	370.616	360.490	343.011	370.986	385.928	374.386	388.571	399.867	404.885	387.154	379.909	373.130	369.047	346.181	317.160	290.047	395.358	345.378	329.926	373.019	386.109	372.767	301.076	332.937	340.761	302.562	305.236	386.874	357.020	364.394	324.606	312.976	377.519	336.848	359.131	350.906	389.067	331.848	326.335	355.210	351.299	413.356	349.278	354.135	381.070	354.667	320.383	343.624
386.624	423.969	402.366	429.377	413.495	395.471	428.229	445.351	430.882	448.077	472.004	464.718	445.705	436.810	430.684	426.459	398.742	360.009	341.763	460.089	401.469	379.595	431.190	443.636	428.611	347.052	378.328	394.787	357.623	343.623	444.216	421.930	419.565	382.515	360.782	433.920	391.377	412.274	396.130	449.689	373.155	374.142	420.503	406.835	478.660	401.375	408.324	438.923	411.892	378.408	389.176
408.006	444.412	413.954	451.114	430.417	413.630	448.385	466.192	449.927	468.736	504.354	484.031	465.534	455.703	450.936	446.985	416.681	371.045	364.612	485.369	423.077	396.264	452.082	462.529	447.161	362.920	390.331	414.769	382.594	351.340	462.847	451.326	438.291	408.119	377.289	452.551	412.273	429.479	406.115	471.427	381.113	389.281	450.480	427.271	502.667	418.521	427.101	458.664	433.702	404.564	400.244
193.298	209.245	191.501	212.850	201.342	194.355	210.900	219.224	211.087	220.287	241.647	226.552	218.467	213.618	212.092	210.439	195.627	171.947	174.451	229.879	200.177	185.865	212.899	216.688	209.618	170.497	181.065	195.698	183.509	161.567	216.712	216.444	205.707	195.279	177.253	212.079	194.992	201.050	187.243	221.988	175.071	182.024	216.332	201.530	237.077	196.092	200.697	215.336	205.049	193.933	185.096
224.256	241.366	217.246	246.005	230.841	223.764	243.043	252.581	242.680	253.664	283.228	259.886	251.228	245.399	244.408	242.724	225.056	195.388	204.215	266.618	231.952	213.636	245.627	248.784	240.807	196.262	205.945	226.176	215.299	182.230	248.681	253.903	236.582	228.609	204.044	243.566	225.866	230.667	211.725	256.091	197.256	208.611	254.083	232.846	273.902	225.161	231.079	247.727	237.433	227.409	209.913
577.263	597.222	504.352	608.902	563.805	548.517	600.830	625.918	588.323	633.329	746.299	636.111	617.406	604.987	602.262	599.687	551.904	457.389	546.353	691.645	571.353	532.956	603.569	611.479	592.067	477.769	488.652	551.102	594.065	401.689	616.387	673.204	582.342	618.484	495.823	605.855	558.255	567.782	478.688	633.988	446.410	504.178	695.818	571.940	684.518	545.359	567.113	613.693	590.644	618.152	479.456
