T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
27.385	28.633	26.184	27.806	27.617	27.173	27.247	27.783	28.916	29.982	30.325	28.521	29.411	29.231	27.278	27.362	27.809	26.156	29.266	29.981	27.554	28.170	28.990	27.681	28.270	27.044	27.798	27.403	30.290	25.330	30.068	28.186	28.079	28.634	26.976	27.763	26.412	30.096	25.523	28.970	25.532	29.679	29.980	27.359	28.053	27.938	27.392	27.338	26.685	30.271	26.491
27.327	29.064	25.744	28.144	28.183	27.592	27.756	28.303	29.335	30.660	31.148	28.929	30.055	29.586	27.672	27.803	28.225	25.541	29.863	31.039	27.981	28.226	29.955	28.100	28.949	27.526	27.566	27.809	31.183	24.692	30.557	28.901	28.350	29.439	27.439	28.315	26.902	30.456	24.723	29.410	24.887	30.075	30.994	27.734	28.201	28.418	27.773	27.789	27.488	31.521	25.927
28.076	29.877	26.200	29.195	29.206	28.748	29.050	29.599	30.337	31.958	32.603	29.875	31.094	30.752	28.719	29.020	29.353	25.848	31.186	32.542	29.125	29.029	31.537	29.260	30.032	28.734	28.159	28.983	32.871	24.985	31.870	30.395	29.237	30.924	28.681	29.580	28.207	31.649	24.901	30.279	25.184	31.105	32.660	28.896	29.089	29.397	28.904	29.008	29.176	33.393	26.272
27.760	29.718	25.824	29.004	29.093	28.580	28.943	29.508	30.171	31.914	32.490	29.754	30.980	30.672	28.567	28.892	29.182	25.429	31.016	32.567	28.941	28.727	31.491	29.137	29.941	28.577	27.813	28.825	32.903	24.539	31.834	30.284	29.110	30.813	28.534	29.468	28.095	31.567	24.450	30.123	24.759	30.989	32.616	28.733	28.962	29.242	28.734	28.892	29.129	33.387	25.860
26.732	28.327	25.004	27.631	27.754	27.216	27.595	28.128	28.798	30.458	30.959	28.464	29.524	29.234	27.235	27.579	27.773	24.719	29.651	31.050	27.590	27.557	29.997	27.772	28.573	27.193	26.809	27.569	31.377	23.895	30.339	29.021	27.750	29.376	27.209	28.004	26.842	30.090	23.853	28.725	24.070	29.472	31.028	27.462	27.608	27.887	27.383	27.560	27.766	31.777	25.071
26.250	27.180	25.048	26.473	26.718	26.023	26.419	26.918	27.536	29.032	29.306	27.513	28.184	28.029	26.131	26.499	26.517	25.017	28.317	29.309	26.409	26.788	28.388	26.613	27.415	25.940	26.448	26.584	29.345	24.288	28.980	27.832	26.827	27.867	26.055	26.628	25.826	28.787	24.416	27.545	24.405	28.175	29.204	26.449	26.713	26.733	26.231	26.458	26.578	29.803	25.205
24.998	25.142	24.302	24.670	24.724	24.138	24.519	25.016	25.615	26.491	26.931	25.738	25.777	25.686	24.287	24.700	24.605	24.508	26.227	26.604	24.551	25.248	25.977	24.757	25.250	23.982	25.312	24.892	26.532	23.872	26.615	25.821	24.804	25.556	24.195	24.531	24.057	26.232	24.186	25.581	23.941	25.671	26.592	24.749	24.734	24.765	24.403	24.616	24.490	26.923	24.573
17.083	16.835	16.703	16.586	16.208	15.914	16.235	16.701	17.361	17.679	18.317	17.318	17.168	16.778	16.066	16.502	16.423	17.046	17.749	17.684	16.377	17.119	17.261	16.412	16.672	15.688	17.463	16.790	17.501	16.471	17.481	17.297	16.294	16.851	15.967	16.110	15.825	17.344	16.942	17.316	16.523	16.857	17.699	16.671	16.247	16.385	16.247	16.336	15.891	17.641	17.091
16.328	16.077	15.981	15.813	15.442	15.125	15.441	15.927	16.601	16.865	17.487	16.566	16.358	15.979	15.315	15.717	15.639	16.339	16.933	16.821	15.595	16.339	16.454	15.648	15.893	14.892	16.713	16.017	16.624	15.771	16.672	16.478	15.533	16.011	15.178	15.299	15.037	16.533	16.259	16.564	15.821	16.059	16.838	15.900	15.492	15.622	15.465	15.554	15.108	16.738	16.382
13.243	12.969	12.949	12.698	12.386	11.988	12.292	12.859	13.509	13.701	14.284	13.540	13.159	12.882	12.183	12.581	12.508	13.329	13.754	13.566	12.465	13.219	13.259	12.605	12.758	11.742	13.640	12.896	13.354	12.770	13.557	13.289	12.493	12.793	12.039	12.128	11.895	13.422	13.285	13.511	12.819	12.864	13.588	12.785	12.460	12.541	12.339	12.407	11.944	13.423	13.369
