T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
431.314	270.003	619.152	637.110	588.206	599.481	604.718	686.893	337.784	849.517	759.879	503.916	648.185	599.949	570.771	631.716	611.836	811.223	212.813	334.318	632.264	547.091	577.396	517.239	619.622	574.810	456.347	608.691	468.542	353.056	247.271	591.715	517.636	578.301	565.706	510.104	661.124	180.638	864.290	519.528	402.928	609.477	460.621	599.901	530.104	590.588	610.992	547.054	626.314	306.579	879.608
676.309	445.995	917.751	898.395	800.164	829.421	876.933	1013.326	563.885	1174.571	1077.017	826.504	922.780	826.522	761.948	928.936	844.834	1089.770	374.178	591.796	893.542	849.945	815.293	735.952	856.506	722.438	695.078	883.990	733.678	547.402	446.852	875.674	722.927	786.273	761.611	771.977	933.829	361.586	1191.292	850.764	676.024	818.653	737.176	848.687	769.862	767.568	824.568	795.703	900.949	510.591	1224.598
696.236	502.219	935.104	933.556	817.509	842.470	887.593	1024.609	605.099	1225.883	1127.899	861.626	942.782	848.973	787.907	947.046	874.164	1131.795	439.044	623.505	918.383	864.645	840.756	761.648	877.269	750.203	744.254	928.815	743.627	598.227	504.044	903.924	751.477	802.782	788.256	779.963	945.964	416.030	1236.403	896.700	698.381	836.164	760.331	883.413	791.527	788.833	851.176	810.477	908.405	561.048	1271.644
661.225	489.637	879.707	880.539	768.828	790.480	832.030	960.318	583.872	1153.592	1063.106	817.761	888.447	800.475	742.702	889.069	824.104	1066.061	433.280	597.184	865.840	816.081	792.658	719.281	825.191	707.713	711.723	878.100	702.282	576.538	491.225	851.409	710.094	755.472	742.259	732.237	884.496	411.238	1161.225	851.887	663.851	787.917	721.058	833.967	745.932	744.174	802.101	761.742	849.443	544.790	1193.757
654.694	499.237	861.411	864.819	752.538	771.630	811.282	936.198	588.609	1129.877	1043.235	809.026	871.722	785.888	728.923	868.399	808.922	1045.339	447.587	597.029	849.969	802.203	778.121	707.478	807.886	695.211	710.224	864.744	690.838	580.382	500.637	834.861	698.916	740.042	727.591	715.265	859.812	425.588	1134.744	843.717	657.962	773.021	712.735	819.909	731.898	731.080	786.947	745.061	825.829	553.047	1165.873
388.111	305.830	504.094	507.888	440.176	449.890	472.378	544.992	356.117	661.409	612.061	479.158	511.339	461.324	427.720	506.679	474.736	612.740	278.051	357.853	498.876	471.580	456.703	416.198	472.675	408.373	424.821	509.446	406.454	350.587	306.544	489.364	411.488	433.264	426.321	417.363	498.815	264.884	662.453	500.345	390.505	453.398	421.699	482.086	429.328	429.473	461.578	435.427	479.161	337.180	680.169
549.039	448.991	702.270	710.585	612.882	623.970	654.100	754.443	515.663	921.811	855.330	677.117	714.391	645.079	597.819	703.357	663.657	855.345	414.393	512.734	697.483	660.543	638.518	583.487	658.344	571.506	607.259	715.446	569.886	506.772	449.810	683.111	577.431	603.924	594.834	579.417	687.647	395.549	920.243	708.127	553.183	633.368	595.204	675.442	599.833	601.078	644.826	605.640	660.651	492.425	944.088
519.585	443.196	652.484	663.662	569.048	576.575	603.205	695.508	501.288	856.922	797.725	640.000	666.048	602.067	557.658	650.646	619.213	796.674	415.710	492.495	650.857	617.759	595.834	546.291	611.501	533.938	581.731	671.237	533.608	491.692	443.759	636.240	541.240	561.485	553.711	536.039	630.655	397.623	852.033	670.514	524.355	590.423	561.768	631.921	559.268	561.606	601.148	561.607	606.004	483.272	873.242
584.025	522.911	717.042	734.096	624.824	629.272	656.658	756.816	581.429	942.378	880.861	718.317	735.117	665.385	615.901	711.104	684.079	878.231	499.124	563.405	719.143	684.441	658.351	606.090	671.774	590.838	663.429	746.639	592.069	569.059	523.258	701.344	601.336	617.556	609.951	585.902	681.709	478.440	932.276	754.205	590.533	651.534	629.409	700.466	617.306	621.499	663.440	615.664	655.208	566.558	954.284
534.741	600.130	576.343	613.996	499.586	483.992	496.579	570.679	620.458	760.891	729.175	652.546	606.752	553.618	510.444	551.942	567.914	719.644	613.203	564.049	597.537	577.991	547.050	515.991	538.814	495.337	654.303	645.243	504.267	601.403	599.051	574.547	516.167	498.971	497.583	455.015	491.085	592.504	729.062	693.215	546.326	537.187	566.346	593.240	509.737	521.245	547.380	487.291	472.725	633.225	740.244
