T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
28.728	27.482	25.907	27.259	26.871	26.938	27.895	27.959	28.174	29.270	31.655	27.741	28.438	28.101	26.601	28.255	27.394	26.872	30.838	29.887	27.358	28.415	29.016	27.224	27.621	27.533	27.796	27.993	30.591	26.378	29.080	30.794	26.860	29.510	27.427	27.536	27.669	28.877	26.785	27.929	25.585	28.264	30.770	27.622	26.728	27.115	27.318	27.753	26.918	32.080	26.792
27.958	26.501	26.097	26.255	25.823	25.889	26.530	26.766	27.113	28.002	30.024	26.776	27.288	26.693	25.644	26.943	26.323	26.970	29.467	28.418	26.304	27.851	27.629	26.188	26.533	26.253	27.564	26.904	29.093	26.584	27.396	29.229	25.837	28.141	26.185	26.370	26.292	27.495	27.086	26.902	25.963	26.858	29.326	26.514	25.664	26.067	26.272	26.404	25.753	30.537	26.937
23.976	22.852	22.794	22.674	22.167	22.174	22.634	22.872	23.396	23.943	25.543	23.173	23.398	22.849	22.067	23.115	22.572	23.471	25.017	24.208	22.728	23.840	23.594	22.433	22.768	22.382	23.881	23.265	24.500	23.166	23.604	24.841	22.186	23.783	22.392	22.523	22.458	23.490	23.781	23.273	22.731	23.009	24.798	22.900	22.113	22.385	22.510	22.538	21.983	25.569	23.502
22.833	21.773	21.813	21.613	21.139	21.080	21.500	21.738	22.308	22.775	24.283	22.208	22.266	21.813	21.003	22.000	21.472	22.457	23.769	23.000	21.666	22.694	22.424	21.332	21.660	21.257	22.813	22.192	23.211	22.163	22.551	23.597	21.209	22.547	21.280	21.399	21.335	22.397	22.802	22.200	21.768	21.890	23.522	21.830	21.144	21.300	21.404	21.413	20.878	24.210	22.495
18.541	17.652	17.683	17.411	17.043	16.837	17.217	17.553	18.175	18.585	19.873	18.133	18.046	17.666	16.870	17.735	17.246	18.294	19.371	18.654	17.455	18.398	18.175	17.240	17.533	16.982	18.597	17.970	18.773	18.011	18.387	19.203	17.120	18.161	17.018	17.126	17.063	18.237	18.673	18.123	17.655	17.744	19.096	17.611	17.064	17.207	17.150	17.179	16.749	19.702	18.339
14.501	13.569	13.805	13.445	12.886	12.846	13.187	13.422	14.086	14.394	15.716	13.996	13.956	13.458	12.831	13.723	13.226	14.384	15.226	14.536	13.497	14.355	14.037	13.086	13.397	12.961	14.633	14.000	14.588	14.112	14.162	15.063	12.970	14.028	13.010	13.106	13.044	14.015	14.797	14.007	13.795	13.591	14.924	13.645	12.923	13.084	13.148	13.118	12.623	15.447	14.436
10.597	9.730	10.064	9.624	9.026	8.992	9.293	9.527	10.238	10.466	11.697	10.043	10.064	9.488	9.007	9.848	9.366	10.610	11.218	10.568	9.675	10.448	10.106	9.214	9.529	9.076	10.805	10.167	10.539	10.350	10.121	11.059	9.033	10.031	9.138	9.223	9.162	10.062	11.058	10.174	10.072	9.707	10.888	9.815	9.060	9.240	9.282	9.233	8.758	11.328	10.669
22.168	21.365	21.797	21.277	20.656	20.612	20.873	21.106	21.863	22.012	23.150	21.619	21.646	21.071	20.657	21.446	20.980	22.309	22.684	22.073	21.327	22.015	21.649	20.825	21.134	20.665	22.451	21.808	21.965	22.060	21.657	22.529	20.662	21.509	20.739	20.813	20.753	21.620	22.791	21.814	21.821	21.297	22.326	21.459	20.713	20.868	20.891	20.822	20.367	22.684	22.375
20.101	19.363	19.892	19.292	18.648	18.594	18.815	19.047	19.851	19.922	20.967	19.744	19.590	19.017	18.671	19.408	18.956	20.371	20.513	19.941	19.342	19.946	19.556	18.798	19.102	18.616	20.460	19.812	19.754	20.134	19.645	20.362	18.677	19.349	18.704	18.766	18.707	19.542	20.888	19.818	19.934	19.250	20.127	19.466	18.728	18.860	18.862	18.774	18.339	20.403	20.444
25.028	24.511	25.426	24.519	23.776	23.691	23.780	24.005	24.975	24.755	25.473	24.848	24.545	23.972	23.881	24.448	24.034	25.800	25.071	24.618	24.555	24.867	24.363	23.866	24.137	23.609	25.681	24.999	24.151	25.583	24.494	24.922	23.783	23.930	23.737	23.762	23.700	24.423	26.420	24.995	25.527	24.230	24.560	24.658	23.941	23.989	23.914	23.780	23.404	24.568	25.880
