T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
818.474	1130.422	928.471	1129.938	1079.274	1051.033	999.214	985.869	1038.832	1040.776	819.447	1032.928	1039.080	1056.522	1091.434	983.026	1063.460	1076.346	796.478	967.355	1145.962	857.626	1009.607	1024.295	1075.127	1097.191	924.440	1130.485	844.758	1099.282	1106.953	829.932	1108.523	811.392	1057.555	1008.696	1057.930	1138.265	1043.177	1125.324	1042.608	1105.006	832.550	1083.868	1094.901	1071.850	1011.555	973.999	1069.909	755.328	1061.562
727.639	1134.205	818.174	1131.754	1064.794	1024.259	974.782	965.257	1033.303	1032.260	782.503	1033.220	1029.192	1042.879	1078.798	954.744	1042.330	945.051	735.817	939.709	1139.819	775.109	987.087	1007.392	1062.437	1060.043	840.736	1116.527	803.612	948.425	1106.821	762.399	1094.919	735.988	1014.303	996.568	1031.660	1142.193	900.175	1131.724	913.229	1088.592	774.726	1069.468	1096.070	1055.515	980.575	946.334	1045.383	694.291	907.926
834.779	1193.137	894.378	1193.162	1126.580	1083.288	1057.165	1058.528	1129.819	1135.955	933.646	1136.968	1117.714	1117.820	1135.487	1044.641	1106.158	983.214	863.424	1047.079	1186.500	885.826	1071.573	1087.244	1129.495	1096.064	941.981	1169.819	930.289	958.632	1181.591	867.456	1144.215	846.595	1063.873	1082.562	1092.080	1210.553	940.772	1206.661	950.870	1139.099	899.215	1136.799	1163.848	1122.885	1054.450	1035.012	1095.660	843.420	941.065
784.588	1130.714	835.498	1130.797	1064.708	1020.833	1000.208	1003.743	1075.579	1083.477	892.497	1084.125	1061.920	1059.018	1072.245	989.623	1044.861	913.105	818.030	995.919	1121.350	834.701	1014.822	1029.110	1068.914	1029.214	887.952	1106.366	883.175	884.935	1122.533	817.386	1079.382	797.112	999.653	1025.901	1029.992	1150.122	873.150	1147.309	882.095	1075.856	852.686	1076.056	1102.755	1062.183	995.316	979.522	1031.537	802.347	871.045
671.310	954.183	707.033	954.292	898.718	861.043	848.242	853.078	914.413	922.607	770.423	922.837	901.523	896.508	903.933	840.924	882.392	763.199	703.729	849.541	943.923	712.956	860.796	871.724	903.381	864.424	755.596	932.673	757.452	736.325	950.110	699.213	908.634	682.524	841.601	870.260	869.112	972.325	731.487	970.845	738.083	907.019	732.129	909.284	931.605	897.570	842.243	831.962	868.695	694.108	727.652
667.235	928.657	694.410	928.799	875.889	839.265	831.458	837.861	897.152	906.450	769.673	906.366	883.525	876.268	879.771	826.019	860.695	739.115	702.246	837.428	916.586	706.411	843.667	853.024	881.414	838.948	744.944	907.177	752.375	710.453	927.486	694.110	882.991	678.570	819.181	852.820	847.301	947.689	710.740	947.133	716.127	882.755	728.570	886.934	908.061	875.734	823.930	817.033	845.249	696.526	705.096
652.464	890.085	671.435	890.254	840.640	805.578	802.430	810.147	866.599	876.745	756.216	876.376	852.531	843.360	843.249	798.785	826.727	705.001	689.244	812.538	876.570	688.751	814.122	821.899	846.856	801.913	722.919	868.989	735.284	675.194	891.568	677.959	845.073	663.720	785.244	822.843	813.449	909.610	680.123	909.898	684.326	846.090	713.250	851.934	871.628	841.390	793.641	789.928	809.948	687.159	672.933
652.970	873.951	664.856	874.147	826.481	792.093	793.130	802.212	857.282	868.420	760.143	867.783	842.511	831.397	827.982	791.045	813.438	688.972	692.152	807.234	858.827	687.397	804.602	811.104	833.460	785.294	718.312	852.751	735.448	657.480	877.888	677.750	828.571	664.395	771.096	813.115	799.980	894.345	666.753	895.410	669.966	830.755	714.557	838.242	857.051	828.071	783.001	782.116	795.082	693.341	657.996
707.685	930.083	713.355	930.325	880.683	844.126	849.505	860.729	918.965	932.035	827.233	931.073	902.252	888.240	881.183	848.833	867.444	729.862	752.563	868.843	912.066	743.081	861.704	867.450	889.017	833.576	773.253	907.017	796.663	694.041	936.845	733.794	880.565	720.231	820.712	870.715	852.683	953.056	708.501	954.997	710.975	884.115	775.201	893.894	913.364	883.259	837.175	839.091	845.957	757.182	697.425
1204.369	1425.165	1168.116	1422.775	1365.594	1316.505	1345.760	1367.588	1442.945	1467.587	1388.070	1462.602	1417.406	1387.749	1358.782	1354.147	1352.347	1130.503	1281.227	1396.419	1387.840	1240.750	1360.960	1362.287	1381.541	1289.753	1262.842	1390.019	1327.452	1080.932	1448.122	1238.130	1352.757	1222.880	1280.980	1373.308	1326.416	1464.580	1120.079	1466.615	1118.602	1368.342	1305.903	1382.562	1405.307	1372.111	1321.700	1339.392	1310.750	1304.380	1093.011
